DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-06-14,14,353,40,222,3,0.0135,0.6682
2026-06-15,32,485,67,418,2,0.0048,0.649
2026-06-16,24,417,57,455,3,0.0066,0.7506
2026-06-17,17,469,37,442,5,0.0113,0.8281
2026-06-18,22,458,48,515,4,0.0078,0.7906
2026-06-19,24,455,53,478,6,0.0126,0.792
2026-06-20,14,311,46,185,5,0.027,0.7135
