deviceCategory,sessions,activeUsers,screenPageViews,averageSessionDuration
desktop,10709,9398,22597,196.97428096040713
mobile,3552,3273,6069,118.30329438992116
tablet,147,115,322,245.44320493197276
smart tv,1,1,1,43.460328
