sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,8342,7027,20676,0.29956844881323424
Direct,5316,5226,5679,0.83728367193378483
Referral,468,393,1920,0.26282051282051283
AI Assistant,192,143,505,0.46875
Unassigned,73,59,88,0.64383561643835618
Organic Social,58,47,121,0.43103448275862066
