sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,3459,2955,8038,0.31743278404163056
Direct,1445,1349,2548,0.84498269896193767
Referral,499,394,1596,0.33466933867735471
Organic Social,226,201,1346,0.42035398230088494
Unassigned,175,163,394,0.42285714285714288
