sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Referral,75,61,355,0.22666666666666666
Organic Search,54,38,427,0.40740740740740738
Direct,22,16,152,0.31818181818181818
Unassigned,4,4,8,1
Organic Social,2,2,13,0
