sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate,conversions
Direct,456,425,1034,0.42105263157894735,0
Organic Search,115,95,558,0.33043478260869563,0
Referral,113,94,452,0.30088495575221241,0
Organic Social,72,72,90,0.79166666666666663,0
Unassigned,4,3,29,0.75,0
