sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,8607,7148,21309,0.32787266178691765
Direct,4499,4431,5126,0.81884863302956212
Referral,570,470,2201,0.34210526315789475
AI Assistant,274,202,982,0.48540145985401462
Unassigned,117,92,371,0.57264957264957261
Organic Social,66,55,132,0.46969696969696972
