sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,5270,4423,11940,0.31973434535104367
Direct,2027,1890,3493,0.84262456832757771
Referral,787,619,2138,0.37229987293519695
Organic Social,360,321,1783,0.45555555555555555
Unassigned,215,192,536,0.50232558139534889
AI Assistant,58,46,134,0.56896551724137934
