理由,ソース,確認,ページ
見つかりませんでした（404）,ウェブサイト,失敗しました,5661
ソフト 404,ウェブサイト,失敗しました,506
クロール済み - インデックス未登録,Google システム,失敗しました,2339
noindex タグによって除外されました,ウェブサイト,開始前,592
robots.txt によりブロックされました,ウェブサイト,開始前,61
重複しています。Google により、ユーザーがマークしたページとは異なるページが正規ページとして選択されました,Google システム,開始前,51
ページにリダイレクトがあります,ウェブサイト,開始,2308
サーバーエラー（5xx）,ウェブサイト,開始,2047
代替ページ（適切な canonical タグあり）,ウェブサイト,開始,920
重複しています。ユーザーにより、正規ページとして選択されていません,ウェブサイト,開始,531
検出 - インデックス未登録,Google システム,開始,1536
他の 4xx の問題が原因でブロックされました,ウェブサイト,該当なし,0
