sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,564,495,2317,0.35992907801418439
Direct,300,275,2311,0.77666666666666662
Referral,158,132,677,0.27848101265822783
Unassigned,21,20,36,0.76190476190476186
Organic Social,3,3,14,0
