AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,0,0,0,14,0,0,0.2857
rankingKey最下部,21,6,3455,823,2,0.0024,0.5401
ranking右サイドバー,2,0,0,108,0,0,0.6111
stats47-ranking,1,0,0,61,0,0,0.2623
themes-content,0,0,0,5,0,0,0.6
サイドバー右上,10,1,10121,660,2,0.003,0.4674
左サイドバー,2,0,0,171,2,0.0117,0.3918
