DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-05-17,7,264,27,207,1,0.0048,0.5314
2026-05-18,9,299,29,294,0,0,0.4218
2026-05-19,4,253,16,270,0,0,0.5519
2026-05-20,3,282,11,150,2,0.0133,0.4333
2026-05-21,13,524,25,564,1,0.0018,0.4858
2026-05-22,8,362,21,311,3,0.0096,0.5177
2026-05-23,3,249,12,127,0,0,0.5748
