sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate,conversions
Organic Search,865,766,2991,0.35491329479768785,0
Direct,443,418,2440,0.82844243792325056,0
Referral,215,187,742,0.29767441860465116,0
Unassigned,41,40,71,0.63414634146341464,0
Organic Social,2,2,10,0,0
