sessionDefaultChannelGroup,sessions,engagedSessions,activeUsers,screenPageViews,engagementRate
Organic Search,1512,939,1322,4619,0.621031746031746
Referral,302,197,261,1028,0.652317880794702
Direct,174,108,134,2376,0.62068965517241381
Unassigned,165,35,159,182,0.21212121212121213
Organic Social,3,2,3,3,0.66666666666666663
