country,clicks,impressions,ctr,position
jpn,1294,38548,0.0336,8.75
kor,4,141,0.0284,6.99
usa,3,6211,0.0005,7.39
gbr,2,50,0.0400,6.64
can,1,228,0.0044,6.81
chn,1,108,0.0093,7.08
cri,1,6,0.1667,5.83
fra,1,86,0.0116,7.23
mys,1,33,0.0303,7.27
sgp,1,49,0.0204,7.18
ago,0,1,0.0000,4.00
alb,0,8,0.0000,7.13
are,0,22,0.0000,7.95
arg,0,52,0.0000,6.38
arm,0,1,0.0000,2.00
aus,0,52,0.0000,7.17
aut,0,5,0.0000,7.80
aze,0,1,0.0000,4.00
bel,0,14,0.0000,7.21
bgd,0,26,0.0000,6.69
bgr,0,9,0.0000,5.89
bhr,0,1,0.0000,7.00
bhs,0,4,0.0000,8.50
bih,0,1,0.0000,8.00
blr,0,17,0.0000,6.76
blz,0,1,0.0000,20.00
bmu,0,1,0.0000,11.00
bol,0,3,0.0000,4.67
bra,0,309,0.0000,6.46
brb,0,1,0.0000,2.00
bwa,0,2,0.0000,6.50
che,0,17,0.0000,7.65
chl,0,14,0.0000,7.36
col,0,40,0.0000,7.58
cub,0,6,0.0000,6.83
cyp,0,4,0.0000,7.50
cze,0,6,0.0000,9.17
deu,0,55,0.0000,7.00
dnk,0,7,0.0000,5.43
dom,0,9,0.0000,8.00
dza,0,12,0.0000,8.75
ecu,0,19,0.0000,7.11
egy,0,7,0.0000,9.00
eri,0,1,0.0000,3.00
esp,0,71,0.0000,6.48
est,0,1,0.0000,4.00
eth,0,2,0.0000,3.50
fin,0,4,0.0000,5.00
fji,0,2,0.0000,10.00
geo,0,3,0.0000,6.33
gha,0,5,0.0000,6.60
gib,0,1,0.0000,11.00
grc,0,12,0.0000,7.08
gtm,0,3,0.0000,9.00
guf,0,1,0.0000,8.00
hkg,0,28,0.0000,7.18
hnd,0,2,0.0000,5.50
hrv,0,5,0.0000,6.80
hti,0,1,0.0000,5.00
hun,0,7,0.0000,4.00
idn,0,90,0.0000,7.16
ind,0,138,0.0000,7.60
irl,0,9,0.0000,8.11
irn,0,20,0.0000,7.25
irq,0,12,0.0000,6.83
isl,0,1,0.0000,5.00
isr,0,10,0.0000,8.20
ita,0,48,0.0000,6.02
jam,0,8,0.0000,7.63
jor,0,4,0.0000,6.75
kaz,0,7,0.0000,4.57
ken,0,4,0.0000,7.50
khm,0,8,0.0000,9.13
kwt,0,1,0.0000,7.00
lao,0,1,0.0000,2.00
lbn,0,1,0.0000,7.00
lby,0,1,0.0000,7.00
lca,0,1,0.0000,8.00
ltu,0,2,0.0000,5.50
lux,0,1,0.0000,9.00
lva,0,1,0.0000,4.00
mac,0,1,0.0000,8.00
mar,0,14,0.0000,6.86
mda,0,2,0.0000,6.50
mdg,0,1,0.0000,9.00
mdv,0,2,0.0000,6.00
mex,0,99,0.0000,6.63
mkd,0,1,0.0000,4.00
mlt,0,1,0.0000,8.00
mmr,0,1,0.0000,5.00
mng,0,7,0.0000,7.00
moz,0,1,0.0000,9.00
mrt,0,1,0.0000,5.00
mus,0,2,0.0000,10.00
nam,0,1,0.0000,7.00
ncl,0,1,0.0000,3.00
nga,0,7,0.0000,5.71
nic,0,1,0.0000,10.00
nld,0,41,0.0000,7.44
nor,0,6,0.0000,13.83
npl,0,7,0.0000,5.00
nzl,0,14,0.0000,8.07
pak,0,17,0.0000,5.76
pan,0,1,0.0000,6.00
per,0,13,0.0000,5.92
phl,0,34,0.0000,9.12
png,0,1,0.0000,12.00
pol,0,31,0.0000,6.32
pri,0,5,0.0000,7.00
prt,0,11,0.0000,5.45
pry,0,6,0.0000,5.67
pse,0,4,0.0000,5.25
qat,0,6,0.0000,8.50
rou,0,13,0.0000,8.92
rus,0,35,0.0000,7.03
rwa,0,1,0.0000,6.00
sau,0,15,0.0000,6.87
sdn,0,1,0.0000,4.00
sen,0,2,0.0000,9.00
slv,0,2,0.0000,7.00
som,0,1,0.0000,10.00
srb,0,5,0.0000,6.60
svk,0,3,0.0000,10.00
svn,0,3,0.0000,8.67
swe,0,14,0.0000,6.79
sxm,0,1,0.0000,4.00
syr,0,3,0.0000,7.00
tcd,0,1,0.0000,2.00
tha,0,55,0.0000,9.13
tkm,0,1,0.0000,10.00
tls,0,1,0.0000,9.00
tto,0,1,0.0000,7.00
tun,0,3,0.0000,4.33
tur,0,34,0.0000,7.41
twn,0,40,0.0000,6.97
tza,0,3,0.0000,7.00
uga,0,2,0.0000,5.50
ukr,0,34,0.0000,6.94
ury,0,3,0.0000,7.00
uzb,0,1,0.0000,3.00
ven,0,13,0.0000,7.77
vnm,0,85,0.0000,8.76
xkk,0,4,0.0000,8.75
zaf,0,8,0.0000,5.25
