AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,2,1,1721,66,0,0,0.4462
rankingKey最下部,12,0,0,505,0,0,0.5109
ranking右サイドバー,0,0,0,14,0,0,0.6429
stats47-ranking,2,0,0,165,0,0,0.3697
themes-content,3,0,0,83,2,0.0241,0.6506
サイドバー右上,9,0,0,550,0,0,0.7091
広告,1,0,0,142,0,0,0.3028
