DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-06-28,17,318,52,270,3,0.0111,0.5985
2026-06-29,22,408,54,406,7,0.0172,0.6188
2026-06-30,14,401,34,333,4,0.012,0.6446
2026-07-01,23,474,49,490,4,0.0082,0.5441
2026-07-02,22,454,49,403,4,0.0099,0.7018
2026-07-03,19,507,37,437,2,0.0046,0.669
2026-07-04,12,300,39,336,4,0.0119,0.4745
