sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,5768,4812,12810,0.33113730929264912
Direct,1850,1712,3111,0.81405405405405407
Referral,823,666,2287,0.38274605103280679
Organic Social,264,236,1068,0.50757575757575757
Unassigned,243,216,702,0.60493827160493829
AI Assistant,180,134,432,0.56666666666666665
