category,slug,year,file_path
prefecture-rank,average-broadcast-media-consumption-time-employed-woman,2021,/Users/minamidaisuke/stats47/contents/prefecture-rank/average-broadcast-media-consumption-time-employed-woman/2021.mdx
prefecture-rank,average-weight-middle-school-second-grade-female,2022,/Users/minamidaisuke/stats47/contents/prefecture-rank/average-weight-middle-school-second-grade-female/2022.mdx
prefecture-rank,total-area,2023,/Users/minamidaisuke/stats47/contents/prefecture-rank/total-area/2023.mdx
