id,stats_data_id,cat01,item_name,item_code,unit,area_type,is_ranking
2137,"0000010112","L311103","他の経常収入（二人以上の世帯のうち勤労者世帯）（家計調査結果）","other-ordinary-income-worker-households","円","prefecture",0
2339,"0000010112","L711103","他の経常収入（二人以上の世帯のうち勤労者世帯）","other-ordinary-income-worker-households","円","prefecture",0
3740,"0000010101","A192003","人口増減率","population-growth-rate","‰","prefecture",0
529,"0000010201","#A05101","人口増減率","population-growth-rate","％","prefecture",0
2400,"0000010113","M100201","1次活動の平均時間（有業者）（女）","primary-activity-avg-time-employed-female","分","prefecture",0
2422,"0000010113","M100401","1次活動の平均時間（有業者）（女）","primary-activity-avg-time-employed-female","分","prefecture",0
2389,"0000010113","M100101","1次活動の平均時間（有業者）（男）","primary-activity-avg-time-employed-male","分","prefecture",0
2411,"0000010113","M100301","1次活動の平均時間（有業者）（男）","primary-activity-avg-time-employed-male","分","prefecture",0
2398,"0000010113","M1002","1次活動の平均時間（10歳以上）（女）","primary-activity-avg-time-female-10plus","分","prefecture",0
2420,"0000010113","M1004","1次活動の平均時間（10歳以上）（女）","primary-activity-avg-time-female-10plus","分","prefecture",0
2402,"0000010113","M100210","1次活動の平均時間（15～24歳）（女）","primary-activity-avg-time-female-15-24","分","prefecture",0
2424,"0000010113","M100410","1次活動の平均時間（15～24歳）（女）","primary-activity-avg-time-female-15-24","分","prefecture",0
2399,"0000010113","M100200","1次活動の平均時間（15歳以上）（女）","primary-activity-avg-time-female-15plus","分","prefecture",0
2421,"0000010113","M100400","1次活動の平均時間（15歳以上）（女）","primary-activity-avg-time-female-15plus","分","prefecture",0
2403,"0000010113","M100220","1次活動の平均時間（25～34歳）（女）","primary-activity-avg-time-female-25-34","分","prefecture",0
2425,"0000010113","M100420","1次活動の平均時間（25～34歳）（女）","primary-activity-avg-time-female-25-34","分","prefecture",0
2404,"0000010113","M100230","1次活動の平均時間（35～44歳）（女）","primary-activity-avg-time-female-35-44","分","prefecture",0
2426,"0000010113","M100430","1次活動の平均時間（35～44歳）（女）","primary-activity-avg-time-female-35-44","分","prefecture",0
2405,"0000010113","M100240","1次活動の平均時間（45～54歳）（女）","primary-activity-avg-time-female-45-54","分","prefecture",0
2427,"0000010113","M100440","1次活動の平均時間（45～54歳）（女）","primary-activity-avg-time-female-45-54","分","prefecture",0
2406,"0000010113","M100250","1次活動の平均時間（55～64歳）（女）","primary-activity-avg-time-female-55-64","分","prefecture",0
2428,"0000010113","M100450","1次活動の平均時間（55～64歳）（女）","primary-activity-avg-time-female-55-64","分","prefecture",0
2407,"0000010113","M100260","1次活動の平均時間（65～74歳）（女）","primary-activity-avg-time-female-65-74","分","prefecture",0
2429,"0000010113","M100460","1次活動の平均時間（65～74歳）（女）","primary-activity-avg-time-female-65-74","分","prefecture",0
2408,"0000010113","M100270","1次活動の平均時間（75歳以上）（女）","primary-activity-avg-time-female-75plus","分","prefecture",0
2430,"0000010113","M100470","1次活動の平均時間（75歳以上）（女）","primary-activity-avg-time-female-75plus","分","prefecture",0
2387,"0000010113","M1001","1次活動の平均時間（10歳以上）（男）","primary-activity-avg-time-male-10plus","分","prefecture",0
