country,clicks,impressions,ctr,position
jpn,418,10280,0.0407,11.74
usa,3,2609,0.0011,7.57
aus,1,34,0.0294,8.68
can,1,116,0.0086,7.37
vnm,1,39,0.0256,5.49
aia,0,1,0.0000,4.00
alb,0,3,0.0000,8.33
are,0,13,0.0000,6.31
arg,0,36,0.0000,5.89
aut,0,4,0.0000,5.75
bel,0,9,0.0000,4.56
ben,0,1,0.0000,11.00
bes,0,1,0.0000,6.00
bgd,0,20,0.0000,6.75
bgr,0,4,0.0000,12.50
bhs,0,1,0.0000,5.00
blr,0,3,0.0000,7.67
blz,0,1,0.0000,7.00
bol,0,3,0.0000,4.00
bra,0,193,0.0000,6.17
brb,0,1,0.0000,3.00
che,0,7,0.0000,6.57
chl,0,13,0.0000,7.08
chn,0,36,0.0000,7.36
civ,0,1,0.0000,6.00
col,0,24,0.0000,7.33
cri,0,1,0.0000,6.00
cub,0,2,0.0000,5.00
cym,0,2,0.0000,10.00
cyp,0,3,0.0000,8.33
cze,0,6,0.0000,5.67
deu,0,34,0.0000,7.97
dnk,0,4,0.0000,8.00
dom,0,9,0.0000,6.22
dza,0,4,0.0000,7.00
ecu,0,11,0.0000,4.64
egy,0,5,0.0000,8.20
esp,0,64,0.0000,6.36
est,0,1,0.0000,8.00
eth,0,1,0.0000,4.00
fin,0,5,0.0000,5.80
fra,0,60,0.0000,6.92
gbr,0,38,0.0000,9.24
gha,0,5,0.0000,7.40
gnb,0,1,0.0000,4.00
grc,0,5,0.0000,7.00
grd,0,1,0.0000,7.00
gtm,0,4,0.0000,10.00
hkg,0,21,0.0000,6.57
hnd,0,4,0.0000,7.75
hrv,0,4,0.0000,14.25
hti,0,2,0.0000,6.50
hun,0,8,0.0000,12.13
idn,0,35,0.0000,6.69
ind,0,62,0.0000,7.26
irl,0,7,0.0000,10.29
irn,0,22,0.0000,7.14
irq,0,3,0.0000,6.33
isr,0,5,0.0000,7.40
ita,0,35,0.0000,9.17
jam,0,4,0.0000,6.50
jor,0,2,0.0000,8.50
kaz,0,5,0.0000,6.40
ken,0,6,0.0000,5.33
kgz,0,1,0.0000,6.00
khm,0,2,0.0000,4.50
kor,0,41,0.0000,8.17
lbn,0,1,0.0000,5.00
lbr,0,1,0.0000,12.00
lka,0,3,0.0000,8.00
ltu,0,2,0.0000,6.00
lva,0,3,0.0000,4.00
mar,0,13,0.0000,6.85
mex,0,63,0.0000,6.24
mkd,0,1,0.0000,5.00
mlt,0,1,0.0000,6.00
mne,0,1,0.0000,1.00
mng,0,1,0.0000,10.00
mys,0,17,0.0000,7.24
nga,0,4,0.0000,5.75
nld,0,13,0.0000,6.08
nor,0,6,0.0000,5.33
npl,0,1,0.0000,3.00
nzl,0,8,0.0000,28.00
pak,0,5,0.0000,5.60
pan,0,1,0.0000,9.00
per,0,11,0.0000,8.82
phl,0,16,0.0000,6.81
png,0,2,0.0000,6.50
pol,0,16,0.0000,5.94
pri,0,7,0.0000,6.14
prk,0,1,0.0000,9.00
prt,0,13,0.0000,7.54
pry,0,1,0.0000,7.00
pse,0,5,0.0000,7.40
rou,0,10,0.0000,5.60
rus,0,13,0.0000,6.77
sau,0,10,0.0000,7.40
sen,0,1,0.0000,11.00
sgp,0,10,0.0000,5.90
slv,0,2,0.0000,5.50
srb,0,4,0.0000,9.00
sur,0,1,0.0000,5.00
svk,0,2,0.0000,3.50
svn,0,1,0.0000,8.00
swe,0,7,0.0000,6.00
syr,0,1,0.0000,7.00
tha,0,25,0.0000,6.84
tun,0,1,0.0000,3.00
tur,0,25,0.0000,7.68
twn,0,18,0.0000,7.44
ukr,0,14,0.0000,5.71
ury,0,4,0.0000,7.50
uzb,0,2,0.0000,8.50
ven,0,6,0.0000,4.33
vgb,0,1,0.0000,2.00
wsm,0,1,0.0000,10.00
xkk,0,3,0.0000,5.33
zaf,0,5,0.0000,6.00
zwe,0,1,0.0000,5.00
