sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,6292,5321,12624,0.364907819453274
Direct,1509,1386,2106,0.78860172299536113
Referral,699,596,1810,0.39914163090128757
AI Assistant,391,291,928,0.54475703324808189
Unassigned,173,156,449,0.60115606936416188
Organic Social,161,144,651,0.54037267080745344
