PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,128,2681,48,4137,5,0.0012,0.5826
High-end mobile devices,33,1149,28,574,28,0.0488,0.5123
Tablets,2,49,42,74,0,0,0.6486
