AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
ranking右サイドバー,1,0,0,85,0,0,0.3882
stats47-ranking,10,0,0,929,0,0,0.4564
themes-content,1,0,0,39,0,0,0.4615
サイドバー右上,22,0,0,1283,1,0.0008,0.7186
左サイドバー,1,0,0,31,0,0,0.3226
広告,19,0,0,1308,0,0,0.3139
