DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-07-05,35,379,92,517,6,0.0116,0.4795
2026-07-06,23,640,36,921,4,0.0043,0.5033
2026-07-07,19,516,37,674,4,0.0059,0.4784
2026-07-08,22,493,44,757,5,0.0066,0.5271
2026-07-09,35,634,55,829,6,0.0072,0.5821
2026-07-10,25,548,46,666,3,0.0045,0.5889
2026-07-11,10,471,21,289,1,0.0035,0.4983
