DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-04-19,3,81,40,35,1,0.0286,0.6471
2026-04-20,5,185,24,115,0,0,0.5676
2026-04-21,10,247,40,101,1,0.0099,0.6162
2026-04-22,4,112,38,66,2,0.0303,0.6769
2026-04-23,5,127,38,96,3,0.0312,0.6667
2026-04-24,4,292,12,76,0,0,0.527
2026-04-25,5,307,17,72,0,0,0.6667
