sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,6612,5647,14130,0.37628554143980641
Direct,2344,2189,3088,0.80887372013651881
Referral,553,455,1845,0.4014466546112116
AI Assistant,430,319,1223,0.53720930232558139
Unassigned,174,153,463,0.5977011494252874
Organic Social,36,24,233,0.52777777777777779
