date,activeUsers,sessions,screenPageViews,newUsers
20260412,1,1,4,1
20260413,1,2,10,1
20260414,1,4,25,1
20260415,1,1,0,1
20260416,5,6,5,5
20260418,9,10,33,8
20260419,2,2,2,1
20260420,10,11,18,8
20260421,16,17,52,14
20260422,2,2,5,1
20260423,6,7,60,6
20260424,2,2,96,2
20260425,31,31,108,31
20260426,128,131,184,127
20260427,124,154,3194,122
20260428,134,149,393,133
20260429,140,149,215,139
20260430,124,134,366,120
20260501,119,137,312,112
20260502,58,62,110,56
20260503,59,64,119,59
20260504,147,152,226,145
20260505,90,95,164,85
20260506,84,87,187,79
20260507,1,3,2,1
20260508,60,60,115,59
20260509,83,90,249,81
