sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,2754,2387,7259,0.32316630355846043
Direct,1268,1192,3838,0.84148264984227128
Referral,413,340,1367,0.32687651331719131
Unassigned,123,121,183,0.43902439024390244
Organic Social,122,111,745,0.39344262295081966
