sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,4382,3761,10635,0.31241442263806479
Direct,1979,1853,3500,0.84335522991409806
Referral,613,462,1887,0.35073409461663946
Organic Social,241,210,1372,0.42323651452282157
Unassigned,222,203,528,0.45495495495495497
