sessionDefaultChannelGroup,sessions,engagedSessions,activeUsers,screenPageViews,engagementRate
Organic Search,1118,764,916,2948,0.68336314847942758
Referral,175,113,126,604,0.64571428571428569
Direct,121,54,94,392,0.4462809917355372
Unassigned,69,38,58,238,0.55072463768115942
Organic Social,37,18,28,82,0.48648648648648651
