country,clicks,impressions,ctr,position
jpn,2544,81631,0.0312,8.61
kor,4,324,0.0123,7.61
usa,4,6964,0.0006,7.84
aus,3,97,0.0309,8.03
sgp,2,74,0.0270,7.20
twn,2,81,0.0247,7.80
aut,1,15,0.0667,9.73
can,1,220,0.0045,7.50
deu,1,219,0.0046,7.42
dnk,1,12,0.0833,6.42
gbr,1,149,0.0067,7.60
hkg,1,57,0.0175,7.39
mex,1,86,0.0116,8.64
afg,0,1,0.0000,1.00
ago,0,1,0.0000,11.00
alb,0,4,0.0000,7.75
are,0,14,0.0000,7.86
arg,0,86,0.0000,6.47
aze,0,2,0.0000,6.50
bel,0,14,0.0000,7.57
bfa,0,1,0.0000,3.00
bgd,0,17,0.0000,8.35
bgr,0,8,0.0000,13.00
bhr,0,2,0.0000,5.50
bih,0,4,0.0000,12.00
blr,0,3,0.0000,10.67
blz,0,1,0.0000,8.00
bol,0,2,0.0000,8.00
bra,0,181,0.0000,7.85
brb,0,1,0.0000,11.00
che,0,12,0.0000,6.75
chl,0,22,0.0000,7.77
chn,0,105,0.0000,8.62
cmr,0,2,0.0000,7.50
col,0,43,0.0000,7.79
cpv,0,1,0.0000,11.00
cri,0,5,0.0000,8.40
cub,0,3,0.0000,8.67
cyp,0,3,0.0000,6.00
cze,0,7,0.0000,7.14
dma,0,1,0.0000,6.00
dom,0,7,0.0000,7.29
dza,0,6,0.0000,7.50
ecu,0,14,0.0000,8.07
egy,0,8,0.0000,8.00
esp,0,72,0.0000,9.21
est,0,1,0.0000,6.00
eth,0,3,0.0000,4.33
fin,0,7,0.0000,6.57
fji,0,1,0.0000,11.00
fra,0,538,0.0000,7.41
geo,0,3,0.0000,8.33
grc,0,18,0.0000,6.78
gtm,0,2,0.0000,13.50
guy,0,1,0.0000,6.00
hnd,0,3,0.0000,8.33
hrv,0,3,0.0000,21.00
hti,0,1,0.0000,10.00
hun,0,8,0.0000,8.38
idn,0,79,0.0000,6.58
ind,0,127,0.0000,8.44
irl,0,13,0.0000,7.31
irn,0,16,0.0000,8.19
irq,0,11,0.0000,8.18
isl,0,3,0.0000,10.00
isr,0,5,0.0000,4.40
ita,0,139,0.0000,7.71
jam,0,1,0.0000,9.00
jor,0,7,0.0000,13.43
kaz,0,5,0.0000,6.80
ken,0,1,0.0000,9.00
khm,0,6,0.0000,9.17
lao,0,3,0.0000,9.00
lbn,0,2,0.0000,9.50
lka,0,1,0.0000,10.00
ltu,0,2,0.0000,7.00
lux,0,1,0.0000,14.00
lva,0,2,0.0000,6.00
mar,0,6,0.0000,6.17
mda,0,1,0.0000,7.00
mkd,0,2,0.0000,8.00
mmr,0,3,0.0000,4.67
mng,0,6,0.0000,14.67
mys,0,55,0.0000,7.31
nga,0,6,0.0000,10.17
nic,0,1,0.0000,5.00
nld,0,90,0.0000,8.39
nor,0,9,0.0000,7.00
npl,0,5,0.0000,8.60
nzl,0,13,0.0000,6.77
omn,0,1,0.0000,11.00
pak,0,21,0.0000,7.52
pan,0,2,0.0000,6.00
per,0,19,0.0000,6.74
phl,0,53,0.0000,6.45
pol,0,23,0.0000,10.35
pri,0,3,0.0000,12.67
prt,0,17,0.0000,8.29
pry,0,7,0.0000,9.14
pse,0,1,0.0000,18.00
qat,0,1,0.0000,10.00
reu,0,1,0.0000,6.00
rou,0,14,0.0000,6.57
rus,0,39,0.0000,8.46
sau,0,17,0.0000,6.88
sen,0,1,0.0000,8.00
slv,0,2,0.0000,15.50
som,0,1,0.0000,6.00
srb,0,1,0.0000,18.00
svk,0,5,0.0000,9.40
svn,0,4,0.0000,6.00
swe,0,10,0.0000,9.10
syr,0,2,0.0000,9.50
tha,0,67,0.0000,10.51
tjk,0,1,0.0000,7.00
tto,0,2,0.0000,6.00
tun,0,8,0.0000,9.75
tur,0,18,0.0000,9.11
tza,0,1,0.0000,10.00
uga,0,2,0.0000,7.50
ukr,0,30,0.0000,8.93
ury,0,5,0.0000,6.00
uzb,0,1,0.0000,1.00
ven,0,10,0.0000,5.90
vir,0,2,0.0000,6.00
vnm,0,95,0.0000,7.97
zaf,0,16,0.0000,7.94
zmb,0,2,0.0000,7.50
zzz,0,2,0.0000,3.50
