deviceCategory,sessions,activeUsers,screenPageViews,averageSessionDuration
desktop,10840,9536,23095,150.55539722398524
mobile,4927,4534,7869,111.18092663283947
tablet,235,167,457,192.67004305531916
smart tv,1,1,1,43.460328
