sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,10233,8546,22400,0.28994429785986514
Direct,5095,4907,6028,0.8600588812561335
Referral,674,603,2393,0.21068249258160238
AI Assistant,188,132,495,0.47872340425531917
Organic Social,47,39,76,0.46808510638297873
Unassigned,39,33,30,0.82051282051282048
