week,period_start,period_end,active_users_jp7d,sessions_jp7d,engaged_sessions_jp7d,pageviews_jp7d,engagement_rate_jp7d,missing_days
2026-W30,2026-07-19,2026-07-25,2101,2545,1692,6725,0.6648330058939096,0
2026-W31,2026-07-26,2026-08-01,2054,2508,1700,6233,0.6778309409888357,0
