country,clicks,impressions,ctr,position
jpn,7445,213259,0.0349,7.26
usa,12,6256,0.0019,7.34
can,4,144,0.0278,6.43
kor,3,241,0.0124,7.12
mys,3,63,0.0476,6.86
tha,3,118,0.0254,7.63
twn,3,137,0.0219,6.93
vnm,3,115,0.0261,7.98
aus,2,140,0.0143,7.38
fra,2,58,0.0345,8.47
ind,2,156,0.0128,8.20
nzl,2,40,0.0500,7.60
qat,2,7,0.2857,4.14
sgp,2,96,0.0208,6.96
are,1,291,0.0034,5.91
bfa,1,4,0.2500,5.75
chn,1,246,0.0041,7.32
deu,1,81,0.0123,6.49
dnk,1,9,0.1111,7.44
esp,1,34,0.0294,7.79
fsm,1,1,1.0000,5.00
gbr,1,109,0.0092,7.15
hkg,1,331,0.0030,5.59
hun,1,3,0.3333,5.00
idn,1,112,0.0089,7.52
khm,1,2,0.5000,2.00
mng,1,10,0.1000,4.40
nor,1,10,0.1000,8.20
swe,1,9,0.1111,7.00
abw,0,1,0.0000,9.00
ago,0,3,0.0000,7.67
alb,0,2,0.0000,6.00
arg,0,56,0.0000,4.61
aut,0,15,0.0000,6.87
aze,0,3,0.0000,1.00
bel,0,16,0.0000,7.44
ben,0,1,0.0000,1.00
bgd,0,19,0.0000,11.11
bgr,0,5,0.0000,8.00
bhr,0,1,0.0000,6.00
bhs,0,1,0.0000,5.00
bih,0,2,0.0000,2.00
blr,0,5,0.0000,5.20
bol,0,6,0.0000,5.00
bra,0,113,0.0000,8.08
brb,0,2,0.0000,10.00
brn,0,2,0.0000,4.50
che,0,20,0.0000,7.25
chl,0,15,0.0000,5.60
civ,0,3,0.0000,1.00
cod,0,3,0.0000,14.33
col,0,25,0.0000,7.64
cpv,0,1,0.0000,10.00
cub,0,1,0.0000,21.00
cyp,0,1,0.0000,34.00
cze,0,4,0.0000,5.25
dom,0,8,0.0000,7.25
dza,0,7,0.0000,17.57
ecu,0,10,0.0000,5.80
egy,0,5,0.0000,5.80
est,0,1,0.0000,2.00
eth,0,3,0.0000,14.33
fin,0,8,0.0000,6.63
fji,0,1,0.0000,1.00
geo,0,2,0.0000,9.50
gha,0,7,0.0000,5.71
gib,0,1,0.0000,6.00
grc,0,4,0.0000,8.75
gtm,0,4,0.0000,5.75
gum,0,1,0.0000,9.00
hnd,0,4,0.0000,1.00
hti,0,1,0.0000,1.00
irl,0,13,0.0000,7.46
irn,0,6,0.0000,8.33
irq,0,11,0.0000,6.27
isr,0,6,0.0000,7.83
ita,0,38,0.0000,6.68
jam,0,2,0.0000,11.00
jor,0,4,0.0000,4.75
kaz,0,3,0.0000,1.00
ken,0,6,0.0000,7.00
kgz,0,4,0.0000,8.25
kwt,0,1,0.0000,1.00
lao,0,7,0.0000,2.86
lbn,0,2,0.0000,4.00
lby,0,2,0.0000,1.00
lka,0,2,0.0000,6.50
ltu,0,3,0.0000,8.67
lux,0,1,0.0000,1.00
lva,0,3,0.0000,6.33
mac,0,2,0.0000,8.00
mar,0,19,0.0000,6.95
mdg,0,1,0.0000,1.00
mdv,0,2,0.0000,5.50
mex,0,68,0.0000,10.85
mkd,0,2,0.0000,10.50
mli,0,2,0.0000,6.50
mmr,0,11,0.0000,6.45
mne,0,1,0.0000,5.00
nga,0,1,0.0000,7.00
nld,0,27,0.0000,6.74
npl,0,4,0.0000,4.25
omn,0,3,0.0000,4.00
pak,0,19,0.0000,2.42
pan,0,4,0.0000,11.00
per,0,21,0.0000,7.90
phl,0,79,0.0000,7.86
pol,0,12,0.0000,8.67
pri,0,2,0.0000,5.00
prt,0,7,0.0000,8.71
pry,0,9,0.0000,9.78
pse,0,3,0.0000,7.67
reu,0,1,0.0000,4.00
rou,0,4,0.0000,13.00
rus,0,72,0.0000,7.50
rwa,0,1,0.0000,4.00
sau,0,22,0.0000,7.23
sen,0,3,0.0000,5.67
sle,0,1,0.0000,1.00
slv,0,1,0.0000,8.00
srb,0,6,0.0000,4.83
stp,0,1,0.0000,11.00
svk,0,3,0.0000,6.00
syr,0,1,0.0000,21.00
tgo,0,1,0.0000,7.00
ton,0,1,0.0000,8.00
tto,0,3,0.0000,5.67
tun,0,2,0.0000,1.00
tur,0,28,0.0000,6.25
tza,0,2,0.0000,1.00
uga,0,6,0.0000,6.00
ukr,0,9,0.0000,3.00
ury,0,2,0.0000,5.50
uzb,0,5,0.0000,7.80
ven,0,9,0.0000,4.33
xkk,0,1,0.0000,8.00
zaf,0,14,0.0000,7.93
zmb,0,4,0.0000,9.00
zwe,0,3,0.0000,4.33
