date,clicks,impressions,ctr,position
2026-08-14,178,5275,0.0337,7.40
2026-08-15,130,5816,0.0224,7.17
2026-08-16,179,5239,0.0342,7.87
2026-08-17,244,6336,0.0385,7.50
2026-08-18,241,6097,0.0395,7.37
2026-08-19,307,7113,0.0432,7.34
2026-08-20,372,8870,0.0419,6.84
2026-08-21,175,4611,0.0380,7.47
2026-08-22,187,5360,0.0349,7.48
2026-08-23,193,5958,0.0324,7.50
2026-08-24,219,5881,0.0372,7.80
2026-08-25,212,6555,0.0323,7.50
2026-08-26,246,6976,0.0353,7.83
2026-08-27,241,7415,0.0325,7.78
2026-08-28,210,6388,0.0329,7.96
2026-08-29,200,6700,0.0299,7.80
2026-08-30,282,8436,0.0334,7.79
2026-08-31,299,9189,0.0325,7.48
2026-09-01,275,9678,0.0284,7.41
2026-09-02,331,10215,0.0324,7.23
2026-09-03,401,11223,0.0357,6.88
2026-09-04,230,9078,0.0253,7.01
2026-09-05,282,8712,0.0324,7.19
2026-09-06,335,9707,0.0345,7.01
2026-09-07,334,11100,0.0301,6.86
2026-09-08,338,11707,0.0289,6.58
2026-09-09,393,11499,0.0342,6.69
2026-09-10,469,11960,0.0392,6.75
