sessionDefaultChannelGroup,sessions,engagedSessions,activeUsers,screenPageViews,engagementRate
Organic Search,744,485,653,1797,0.6518817204301075
Referral,110,67,90,357,0.60909090909090913
Direct,91,51,76,284,0.56043956043956045
Unassigned,89,25,87,112,0.2808988764044944
Organic Social,3,1,3,3,0.33333333333333331
