date,activeUsers,sessions,screenPageViews,newUsers
20260607,293,326,603,284
20260608,377,420,698,357
20260609,300,364,754,282
20260610,273,318,616,251
20260611,285,323,824,267
20260612,454,509,1042,440
20260613,201,221,416,194
20260614,249,273,549,242
20260615,348,406,1002,324
20260616,299,354,964,283
20260617,311,352,841,288
20260618,340,389,717,330
20260619,316,358,648,258
20260620,210,226,370,202
20260621,158,169,248,152
20260622,371,409,707,350
20260623,289,330,663,276
20260624,290,335,774,270
20260625,265,308,569,252
20260626,254,291,500,239
20260627,158,181,310,148
20260628,195,229,397,177
20260629,288,324,576,276
20260630,261,302,509,241
20260701,349,401,948,328
20260702,331,387,869,313
20260703,465,515,901,445
20260704,246,268,553,238
