sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,9358,7821,21257,0.27901260953195128
Direct,5310,5248,5970,0.83069679849340872
Referral,707,633,2577,0.23055162659123055
AI Assistant,183,137,351,0.50819672131147542
Unassigned,63,53,66,0.746031746031746
Organic Social,52,42,81,0.38461538461538464
