AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,4,0,0,143,0,0,0.5
rankingKey最下部,10,0,0,337,2,0.0059,0.5786
ranking右サイドバー,1,0,0,70,0,0,0.5286
stats47-ranking,1,0,0,53,0,0,0.434
themes-content,1,0,0,40,0,0,0.675
サイドバー右上,13,1,12652,770,2,0.0026,0.5072
左サイドバー,1,0,0,55,0,0,0.7455
