TRAFFIC_SOURCE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
BING,49,1159,43,1,0.0009,49,0.5496,2847,0.5349
DIRECT,25,907,28,22,0.0243,1,0.4112,4670,0.3422
FACEBOOK,0,0,0,0,0,0,0,1,1
GOOGLE,27,796,34,4,0.005,7,0.459,2516,0.4984
OTHER,16,454,36,2,0.0044,8,0.5122,1109,0.5744
TWITTER,0,2,4,0,0,0,1,8,0.5
