AD_UNIT_ID,AD_UNIT_NAME,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
ca-pub-7995274743017484:1047042956,ranking右サイドバー,7,425,16,1,0.0024,7,0.6447,607,0.7249
ca-pub-7995274743017484:3604399166,stats47-ranking,5,379,12,0,0,0,0.2823,539,0.7217
ca-pub-7995274743017484:4317152551,themes-content,1,33,39,0,0,0,0.4848,67,0.4925
ca-pub-7995274743017484:6137206504,広告,26,1322,20,2,0.0015,13,0.2746,5835,0.2341
ca-pub-7995274743017484:6180558947,サイドバー右上,7,502,14,0,0,0,0.5837,1101,0.4859
ca-pub-7995274743017484:7716393084,左サイドバー,2,53,29,0,0,0,0.5472,118,0.4831
