AD_PLACEMENT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AUTO_ADS,ConnectedTV,0,0,0,0,0,0,0,1,1
AUTO_ADS,Desktop,45,393,115,1,0.0025,45,0.9313,1554,0.704
AUTO_ADS,HighEndMobile,23,194,116,25,0.1289,1,0.7796,1284,0.8232
AUTO_ADS,Tablet,3,17,149,0,0,0,0.7647,45,1
MANUAL,ConnectedTV,0,1,10,0,0,0,0,8,0.125
MANUAL,Desktop,40,1923,21,1,0.0005,40,0.4472,5983,0.3299
MANUAL,HighEndMobile,6,704,8,2,0.0028,3,0.2784,2071,0.3641
MANUAL,Tablet,1,86,15,0,0,0,0.3023,205,0.4439
