AD_PLACEMENT_CODE,PLATFORM_TYPE_CODE,ESTIMATED_EARNINGS,IMPRESSIONS,IMPRESSIONS_RPM,CLICKS,IMPRESSIONS_CTR,COST_PER_CLICK,ACTIVE_VIEW_VIEWABILITY,AD_REQUESTS,AD_REQUESTS_COVERAGE
AUTO_ADS,Desktop,74,634,116,5,0.0079,15,0.8927,3204,0.5109
AUTO_ADS,HighEndMobile,16,184,88,28,0.1522,1,0.7674,1096,0.7984
AUTO_ADS,Tablet,2,11,159,0,0,0,0.6667,51,0.9608
MANUAL,Desktop,33,2650,13,0,0,0,0.4675,10162,0.2657
MANUAL,HighEndMobile,5,632,8,1,0.0016,5,0.2984,1909,0.3457
MANUAL,Tablet,0,41,8,0,0,0,0.2195,86,0.5116
