AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
ranking右サイドバー,1,0,0,69,0,0,0.4493
stats47-ranking,7,0,0,767,0,0,0.4381
themes-content,0,0,0,38,0,0,0.3421
サイドバー右上,14,0,0,1184,0,0,0.6399
左サイドバー,0,0,0,30,0,0,0.3667
広告,15,0,0,932,1,0.0011,0.3118
