sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,7279,6126,15876,0.38247011952191234
Direct,2869,2692,3600,0.8117811084001394
Referral,558,451,1702,0.41397849462365593
AI Assistant,381,282,1120,0.52230971128608927
Unassigned,270,239,727,0.75555555555555554
Organic Social,43,31,244,0.53488372093023251
Cross-network,2,2,1,1
