sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,15144,13140,35911,0.31887216059165346
Direct,4537,4319,5744,0.88163985012122548
Referral,582,487,2353,0.2611683848797251
AI Assistant,204,140,598,0.45588235294117646
Unassigned,61,52,91,0.70491803278688525
Organic Social,43,33,123,0.53488372093023251
Organic Video,1,0,0,1
