AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
rankingKey最下部,12,0,0,159,0,0,0.6038
ranking右サイドバー,1,0,0,27,1,0.037,0.64
stats47-ranking,0,0,0,62,0,0,0.129
サイドバー右上,3,0,0,54,0,0,0.4074
左サイドバー,3,0,0,164,0,0,0.7805
