PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,18,592,30,418,1,0.0024,0.5933
High-end mobile devices,17,724,24,137,6,0.0438,0.7031
Tablets,0,35,4,6,0,0,0.6
