page,clicks,impressions,ctr,position
https://stats47.jp/ranking/yogurt-consumption-expenditure,2,43,0.0465,7.63
https://stats47.jp/areas/18000/agriculture,1,12,0.0833,10.75
https://stats47.jp/areas/28000/agriculture,1,14,0.0714,10.07
https://stats47.jp/blog/aging-solo-living-crisis,1,63,0.0159,13.35
https://stats47.jp/blog/communication-cost-burden,1,11,0.0909,9.45
https://stats47.jp/blog/consumer-price-regional-gap,1,337,0.0030,6.57
https://stats47.jp/blog/crime-rate-regional-gap,1,105,0.0095,14.37
https://stats47.jp/blog/education-cost-per-child,1,44,0.0227,4.70
https://stats47.jp/blog/education-expenses-gap,1,10,0.1000,5.90
https://stats47.jp/blog/expenditure-structure-comparison,1,41,0.0244,7.71
https://stats47.jp/blog/firefighting-capacity-gap,1,114,0.0088,7.09
https://stats47.jp/blog/food-consumption-prefecture-battle,1,21,0.0476,7.29
https://stats47.jp/blog/food-trio-prefecture-map,1,32,0.0313,8.50
https://stats47.jp/blog/forest-coverage-woodland-economy,1,17,0.0588,8.12
https://stats47.jp/blog/gasoline-car-society-map,1,20,0.0500,7.35
https://stats47.jp/blog/highschool-starting-salary-gap,1,127,0.0079,7.68
https://stats47.jp/blog/industrial-water-manufacturing-nexus,1,15,0.0667,7.33
https://stats47.jp/blog/local-tax-regional-gap,1,51,0.0196,8.35
https://stats47.jp/blog/marriage-unmarried-crisis,1,85,0.0118,7.92
https://stats47.jp/blog/overnight-guests-inbound-recovery,1,189,0.0053,8.06
https://stats47.jp/blog/semiconductor-electronics-regional-map,1,49,0.0204,7.53
https://stats47.jp/blog/sewerage-water-supply-gap,1,33,0.0303,9.97
https://stats47.jp/blog/small-business-dominance-map,1,7,0.1429,7.57
https://stats47.jp/blog/suicide-rate-aging-nexus,1,44,0.0227,10.80
https://stats47.jp/blog/sunshine-pacific-vs-nihonkai,1,124,0.0081,10.06
https://stats47.jp/blog/unemployment-structure,1,97,0.0103,9.30
https://stats47.jp/blog/waiting-children-progress,1,131,0.0076,4.93
https://stats47.jp/blog/waste-recycling-rate-ranking,1,32,0.0313,6.63
https://stats47.jp/blog/water-infrastructure-crisis,1,14,0.0714,6.71
https://stats47.jp/blog/workplace-accident-regional-map,1,8,0.1250,5.25
https://stats47.jp/commercial/commerce-service-industry/dashboard/19000,1,1,1.0000,10.00
https://stats47.jp/educationsports/junior-high-school/ranking/junior-high-school-students-per-teacher,1,4,0.2500,5.25
https://stats47.jp/educationsports/special-education/dashboard/05000,1,3,0.3333,8.67
https://stats47.jp/infrastructure/roads/dashboard/25000,1,2,0.5000,6.50
https://stats47.jp/population/commuting-school/dashboard/25000,1,8,0.1250,4.50
https://stats47.jp/ranking/banana-consumption-expenditure,1,10,0.1000,8.90
https://stats47.jp/ranking/bean-sprouts-consumption-quantity,1,13,0.0769,5.62
https://stats47.jp/ranking/beer-consumption-expenditure,1,7,0.1429,7.14
https://stats47.jp/ranking/bonito-consumption-expenditure,1,2,0.5000,8.00
https://stats47.jp/ranking/boys-school-uniform-consumption-expenditure,1,2,0.5000,4.50
https://stats47.jp/ranking/bus-fare-consumption-expenditure,1,11,0.0909,5.36
https://stats47.jp/ranking/cake-consumption-expenditure,1,65,0.0154,7.94
https://stats47.jp/ranking/camera-consumption-expenditure,1,2,0.5000,5.00
https://stats47.jp/ranking/chinese-food-dining-consumption-expenditure,1,12,0.0833,7.92
https://stats47.jp/ranking/chocolate-snack-consumption-expenditure,1,29,0.0345,7.66
https://stats47.jp/ranking/clam-consumption-expenditure,1,2,0.5000,4.50
https://stats47.jp/ranking/coffee-consumption-quantity,1,11,0.0909,8.18
https://stats47.jp/ranking/commute-by-car,1,23,0.0435,6.52
https://stats47.jp/ranking/company-housing-rent-consumption-expenditure,1,2,0.5000,2.00
https://stats47.jp/ranking/contact-lens-consumption-expenditure,1,2,0.5000,4.50
https://stats47.jp/ranking/cooking-oil-consumption-expenditure,1,11,0.0909,7.09
https://stats47.jp/ranking/curry-roux-consumption-quantity,1,33,0.0303,6.88
https://stats47.jp/ranking/dentists-in-medical-facilities,1,1,1.0000,9.00
https://stats47.jp/ranking/dressing-consumption-expenditure,1,3,0.3333,5.67
https://stats47.jp/ranking/dried-shiitake-consumption-quantity,1,7,0.1429,7.14
https://stats47.jp/ranking/driving-school-consumption-expenditure,1,1,1.0000,5.00
https://stats47.jp/ranking/fresh-udon-soba-consumption-quantity,1,18,0.0556,8.50
https://stats47.jp/ranking/freshwater-clam-consumption-quantity,1,13,0.0769,6.23
https://stats47.jp/ranking/golf-green-fee-consumption-expenditure,1,2,0.5000,3.00
https://stats47.jp/ranking/grape-consumption-quantity,1,4,0.2500,6.75
https://stats47.jp/ranking/hair-coloring-consumption-expenditure,1,3,0.3333,1.33
https://stats47.jp/ranking/hobby-participation-rate-western-dance,1,1,1.0000,2.00
https://stats47.jp/ranking/konnyaku-consumption-expenditure,1,18,0.0556,7.72
https://stats47.jp/ranking/manufacturing-net-value-added-private,1,20,0.0500,27.15
https://stats47.jp/ranking/margarine-consumption-quantity,1,5,0.2000,4.80
https://stats47.jp/ranking/mens-sweater-consumption-expenditure,1,2,0.5000,5.00
https://stats47.jp/ranking/miso-consumption-quantity,1,33,0.0303,9.58
https://stats47.jp/ranking/mobile-phone-bill-consumption-expenditure,1,11,0.0909,4.55
https://stats47.jp/ranking/natto-consumption-expenditure,1,70,0.0143,8.61
https://stats47.jp/ranking/notebooks-paper-consumption-expenditure,1,2,0.5000,5.50
https://stats47.jp/ranking/orange-consumption-quantity,1,5,0.2000,5.60
https://stats47.jp/ranking/persimmon-consumption-expenditure,1,5,0.2000,3.80
https://stats47.jp/ranking/pneumonia-death-rate,1,12,0.0833,9.08
https://stats47.jp/ranking/port-inbound-ships,1,3,0.3333,10.33
https://stats47.jp/ranking/private-high-school-consumption-expenditure,1,1,1.0000,1.00
https://stats47.jp/ranking/psychiatric-hospital-count-per-100k,1,23,0.0435,10.00
https://stats47.jp/ranking/pudding-consumption-expenditure,1,34,0.0294,6.53
https://stats47.jp/ranking/rice-cracker-consumption-expenditure,1,21,0.0476,8.95
https://stats47.jp/ranking/road-national-route-length,1,18,0.0556,8.11
https://stats47.jp/ranking/roadside-station-count,1,111,0.0090,10.29
https://stats47.jp/ranking/salmon-consumption-quantity,1,11,0.0909,5.18
https://stats47.jp/ranking/saury-consumption-quantity,1,4,0.2500,6.00
https://stats47.jp/ranking/shochu-consumption-expenditure,1,9,0.1111,10.22
https://stats47.jp/ranking/shochu-consumption-quantity,1,60,0.0167,8.72
https://stats47.jp/ranking/shumai-consumption-expenditure,1,9,0.1111,8.78
https://stats47.jp/ranking/soba-udon-dining-consumption-expenditure,1,20,0.0500,10.55
https://stats47.jp/ranking/solar-panel-housing-rate,1,1,1.0000,5.00
https://stats47.jp/ranking/soy-sauce-consumption-expenditure,1,6,0.1667,8.00
https://stats47.jp/ranking/sports-lesson-consumption-expenditure,1,1,1.0000,8.00
https://stats47.jp/ranking/squid-consumption-quantity,1,54,0.0185,6.96
https://stats47.jp/ranking/strawberry-consumption-quantity,1,12,0.0833,7.75
https://stats47.jp/ranking/sugar-consumption-expenditure,1,59,0.0169,9.03
https://stats47.jp/ranking/swimming-pool-public,1,22,0.0455,8.36
https://stats47.jp/ranking/taxi-fare-consumption-expenditure,1,4,0.2500,5.75
https://stats47.jp/ranking/theft-offenses-recognized,1,13,0.0769,8.46
https://stats47.jp/ranking/tissue-paper-consumption-expenditure,1,80,0.0125,7.33
