date,clicks,impressions,ctr,position
2026-04-04,3,265,0.0113,10.08
2026-04-05,10,317,0.0315,10.54
2026-04-06,49,680,0.0721,6.59
2026-04-07,11,337,0.0326,8.79
2026-04-08,8,195,0.0410,8.66
2026-04-09,77,905,0.0851,8.23
2026-04-10,4,399,0.0100,8.65
2026-04-11,5,413,0.0121,11.40
2026-04-12,8,436,0.0183,8.69
2026-04-13,10,448,0.0223,8.14
2026-04-14,23,615,0.0374,10.69
2026-04-15,18,635,0.0283,9.99
2026-04-16,18,784,0.0230,9.65
2026-04-17,15,795,0.0189,8.98
2026-04-18,10,544,0.0184,9.97
2026-04-19,14,654,0.0214,9.41
2026-04-20,27,747,0.0361,8.70
2026-04-21,21,559,0.0376,8.53
2026-04-22,19,613,0.0310,9.14
2026-04-23,19,657,0.0289,9.49
2026-04-24,17,568,0.0299,8.96
2026-04-25,16,758,0.0211,8.54
2026-04-26,31,1206,0.0257,8.74
2026-04-27,44,1141,0.0386,8.44
2026-04-28,13,898,0.0145,8.59
2026-04-29,37,1281,0.0289,8.71
2026-04-30,38,1491,0.0255,8.94
2026-05-01,24,1076,0.0223,9.25
