sns_post_id,platform,domain,content_key,fetched_at,impressions,reach,views,likes,comments,shares,saves,quotes
56,youtube,ranking,foreign-resident-count-per-100k,2026-04-10T23:25:39.829Z,,,241,3,0,,,
57,youtube,ranking,per-capita-kenmin-shotoku-h27,2026-04-10T23:25:39.829Z,,,2,0,0,,,
58,youtube,ranking,persons-on-public-assistance-per-1000,2026-04-10T23:25:39.829Z,,,4,0,0,,,
60,youtube,ranking,suicide-rate-per-100k,2026-04-10T23:25:39.829Z,,,2,0,0,,,
65,youtube,ranking,total-fertility-rate,2026-04-10T23:25:39.829Z,,,2127,5,1,,,
68,youtube,ranking,abandoned-cultivated-land-area,2026-04-10T23:25:39.829Z,,,202,0,0,,,
73,youtube,ranking,active-job-opening-ratio,2026-04-10T23:25:39.829Z,,,388,1,0,,,
106,youtube,ranking,current-savings-balance-multi-person-households,2026-04-10T23:25:39.829Z,,,2237,3,0,,,
115,youtube,ranking,divorces-per-total-population,2026-04-10T23:25:39.829Z,,,2246,1,0,,,
120,youtube,ranking,fire-damage-casualties-per-population,2026-04-10T23:25:39.829Z,,,2031,2,0,,,
124,youtube,ranking,fiscal-strength-index-prefecture,2026-04-10T23:25:39.829Z,,,9,0,0,,,
137,youtube,ranking,future-burden-ratio,2026-04-10T23:25:39.829Z,,,547,1,0,,,
158,youtube,ranking,inflow-population-ratio,2026-04-10T23:25:39.829Z,,,2,0,0,,,
165,youtube,ranking,laspeyres-index-prefecture,2026-04-10T23:25:39.829Z,,,5,0,0,,,
168,youtube,ranking,local-debt-current-ratio,2026-04-10T23:25:39.829Z,,,31,0,0,,,
172,youtube,ranking,local-tax-ratio-pref-finance,2026-04-10T23:25:39.829Z,,,352,1,0,,,
185,youtube,ranking,new-housing-construction-ratio,2026-04-10T23:25:39.829Z,,,499,2,0,,,
195,youtube,ranking,owner-occupied-housing-ratio,2026-04-10T23:25:39.829Z,,,298,0,0,,,
200,youtube,ranking,per-capita-education-expenditure-pref-municipal,2026-04-10T23:25:39.829Z,,,301,0,0,,,
209,youtube,ranking,per-capita-welfare-expenditure-pref-municipal,2026-04-10T23:25:39.829Z,,,3,0,0,,,
219,youtube,ranking,pharmacy-count-per-100k,2026-04-10T23:25:39.829Z,,,4,0,0,,,
237,youtube,ranking,real-balance-ratio,2026-04-10T23:25:39.829Z,,,1099,1,0,,,
252,youtube,ranking,social-increase-rate,2026-04-10T23:25:39.829Z,,,31,0,0,,,
289,youtube,ranking,total-fertility-rate,2026-04-10T23:25:39.829Z,,,631,2,0,,,
308,youtube,ranking,unemployment-rate,2026-04-10T23:25:39.829Z,,,1113,0,1,,,
313,youtube,ranking,university-capacity-index,2026-04-10T23:25:39.829Z,,,721,2,0,,,
321,youtube,ranking,vacant-housing-ratio,2026-04-10T23:25:39.829Z,,,549,1,0,,,
385,youtube,bar-chart-race,moving-in-excess-rate-japanese,2026-04-10T23:25:39.829Z,,,1100,2,0,,,
389,youtube,bar-chart-race,owner-occupied-housing-ratio,2026-04-10T23:25:39.829Z,,,572,0,0,,,
437,youtube,bar-chart-race,welfare-expenditure-ratio-pref-finance,2026-04-10T23:25:39.829Z,,,1437,0,0,,,
453,youtube,ranking,divorces-per-total-population,2026-04-10T23:25:39.829Z,,,0,0,0,,,
