date,clicks,impressions,ctr,position
2026-07-24,114,3356,0.0340,7.92
2026-07-25,118,3158,0.0374,8.21
2026-07-26,121,3767,0.0321,8.09
2026-07-27,171,4410,0.0388,7.95
2026-07-28,122,3868,0.0315,8.14
2026-07-29,151,4282,0.0353,7.97
2026-07-30,115,3975,0.0289,8.60
2026-07-31,95,3162,0.0300,8.22
2026-08-01,94,3169,0.0297,8.37
2026-08-02,149,3772,0.0395,8.39
2026-08-03,167,3866,0.0432,8.06
2026-08-04,109,3737,0.0292,7.72
2026-08-05,116,3869,0.0300,7.81
2026-08-06,136,3718,0.0366,8.31
2026-08-07,112,3688,0.0304,8.00
2026-08-08,120,4029,0.0298,7.68
2026-08-09,131,4225,0.0310,8.24
2026-08-10,120,4215,0.0285,7.85
2026-08-11,170,4379,0.0388,7.68
2026-08-12,148,5051,0.0293,7.75
2026-08-13,130,5429,0.0239,7.44
2026-08-14,178,5275,0.0337,7.40
2026-08-15,130,5816,0.0224,7.17
2026-08-16,179,5239,0.0342,7.87
2026-08-17,244,6336,0.0385,7.50
2026-08-18,241,6097,0.0395,7.37
2026-08-19,307,7113,0.0432,7.34
2026-08-20,372,8870,0.0419,6.84
