sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,11736,10133,25510,0.29635310156782552
Direct,3900,3740,4989,0.87717948717948713
Referral,726,638,2919,0.22176308539944903
AI Assistant,177,123,444,0.48587570621468928
Organic Social,47,38,88,0.40425531914893614
Unassigned,42,36,33,0.73809523809523814
