deviceCategory,sessions,activeUsers,screenPageViews,averageSessionDuration
desktop,10645,9052,23451,162.50305065786753
mobile,5864,5396,9976,108.22061739222374
tablet,284,218,555,154.70677334507042
smart tv,1,1,1,43.460328
