sns_post_id,platform,domain,content_key,fetched_at,impressions,reach,views,likes,comments,shares,saves,quotes
49,tiktok,ranking,convenience-store-count-per-100k,2026-04-03T23:56:50.833Z,,,5,0,0,0,,
51,tiktok,ranking,inflow-population-ratio,2026-04-03T23:56:50.833Z,,,3,0,0,0,,
52,tiktok,ranking,laspeyres-index-prefecture,2026-04-03T23:56:50.833Z,,,11,0,0,0,,
125,tiktok,ranking,fiscal-strength-index-prefecture,2026-04-03T23:56:50.833Z,,,12,0,0,0,,
134,tiktok,ranking,foreign-resident-count,2026-04-03T23:56:50.833Z,,,12,0,0,0,,
169,tiktok,ranking,local-debt-current-ratio,2026-04-03T23:56:50.833Z,,,6,0,0,0,,
173,tiktok,ranking,local-tax-ratio-pref-finance,2026-04-03T23:56:50.833Z,,,5,0,0,0,,
201,tiktok,ranking,per-capita-education-expenditure-pref-municipal,2026-04-03T23:56:50.833Z,,,5,0,0,0,,
210,tiktok,ranking,per-capita-welfare-expenditure-pref-municipal,2026-04-03T23:56:50.833Z,,,8,0,0,0,,
238,tiktok,ranking,real-balance-ratio,2026-04-03T23:56:50.833Z,,,4,0,0,0,,
318,tiktok,ranking,university-count-per-100k,2026-04-03T23:56:50.833Z,,,7,0,0,0,,
434,tiktok,bar-chart-race,fiscal-strength-index-prefecture,2026-04-03T23:56:50.833Z,,,16,0,0,0,,
438,tiktok,bar-chart-race,welfare-expenditure-ratio-pref-finance,2026-04-03T23:56:50.833Z,,,4,0,0,0,,
2,x,ranking,nurse-salary,2026-04-03T23:52:40.787Z,74,,,0,0,1,0,
4,x,ranking,consumer-price-difference-index-overall,2026-04-03T23:52:40.787Z,115,,,0,0,0,0,
5,x,ranking,population-density-per-km2-total-area,2026-04-03T23:52:40.787Z,41,,,0,0,0,0,
6,x,ranking,avg-salary-admin-prefecture,2026-04-03T23:52:40.787Z,186,,,1,0,0,0,
7,x,ranking,beer-consumption-expenditure,2026-04-03T23:52:40.787Z,53,,,1,0,0,0,
8,x,ranking,governor-salary-prefecture,2026-04-03T23:52:40.787Z,36,,,0,0,0,0,
9,x,ranking,ramen-dining-consumption-expenditure,2026-04-03T23:52:40.787Z,77,,,0,0,0,0,
10,x,ranking,total-fertility-rate,2026-04-03T23:52:40.787Z,59,,,0,0,0,0,
11,x,ranking,annual-income-per-household,2026-04-03T23:52:40.787Z,73,,,0,0,0,0,
29,x,ranking,avg-salary-police-prefecture,2026-04-03T23:52:40.787Z,31,,,0,0,0,0,
30,x,ranking,bonus-admin-prefecture,2026-04-03T23:52:40.787Z,66,,,0,0,0,0,
31,x,ranking,convenience-store-count-per-100k,2026-04-03T23:52:40.787Z,48,,,0,0,0,1,
32,x,ranking,inflow-population-ratio,2026-04-03T23:52:40.787Z,32,,,0,0,0,0,
33,x,ranking,laspeyres-index-prefecture,2026-04-03T23:52:40.787Z,20,,,1,0,0,0,
34,x,ranking,night-soil-treatment-population-ratio,2026-04-03T23:52:40.787Z,65,,,0,0,0,0,
35,x,ranking,number-of-hotel-rooms,2026-04-03T23:52:40.787Z,33,,,0,0,0,0,
37,x,ranking,pharmacy-count-per-100k,2026-04-03T23:52:40.787Z,24,,,0,0,0,0,
39,x,ranking,real-public-debt-service-ratio,2026-04-03T23:52:40.787Z,19,,,0,0,0,0,
40,x,ranking,rice-harvest-volume,2026-04-03T23:52:40.787Z,32,,,0,0,0,0,
41,x,ranking,treatment-rate-cancer-outpatient,2026-04-03T23:52:40.787Z,12,,,0,0,0,0,
42,x,ranking,treatment-rate-diabetes-outpatient,2026-04-03T23:52:40.787Z,26,,,0,0,0,0,
43,x,ranking,treatment-rate-hypertension-outpatient,2026-04-03T23:52:40.787Z,19,,,0,0,0,0,
44,x,ranking,university-count-per-100k,2026-04-03T23:52:40.787Z,36,,,0,0,0,0,
45,x,ranking,voter-turnout-house-single,2026-04-03T23:52:40.787Z,49,,,0,0,0,0,
71,x,ranking,active-job-opening-ratio,2026-04-03T23:52:40.787Z,94,,,0,0,0,0,
92,x,ranking,car-ownership-multi-person-households-per-1000,2026-04-03T23:52:40.787Z,105,,,0,0,0,0,
102,x,ranking,current-balance-ratio,2026-04-03T23:52:40.787Z,22,,,1,0,0,0,
104,x,ranking,current-savings-balance-multi-person-households,2026-04-03T23:52:40.787Z,120,,,0,0,0,0,
109,x,ranking,disposable-income-worker-households,2026-04-03T23:52:40.787Z,32,,,0,0,0,0,
113,x,ranking,divorces-per-total-population,2026-04-03T23:52:40.787Z,100,,,0,0,0,0,
118,x,ranking,fire-damage-casualties-per-population,2026-04-03T23:52:40.787Z,62,,,0,0,0,0,
122,x,ranking,fiscal-strength-index-prefecture,2026-04-03T23:52:40.787Z,70,,,0,0,0,0,
126,x,ranking,food-expenditure-ratio-multi-person-households,2026-04-03T23:52:40.787Z,50,,,0,0,0,0,
131,x,ranking,foreign-resident-count,2026-04-03T23:52:40.787Z,36,,,0,0,0,0,
135,x,ranking,future-burden-ratio,2026-04-03T23:52:40.787Z,17,,,0,0,0,0,
141,x,ranking,gyoza-frozen-consumption-expenditure,2026-04-03T23:52:40.787Z,61,,,0,0,0,0,
145,x,ranking,high-school-advancement-rate,2026-04-03T23:52:40.787Z,167,,,0,0,0,0,
153,x,ranking,icecream-consumption-expenditure,2026-04-03T23:52:40.787Z,56,,,0,0,0,0,
159,x,ranking,labor-force-population-ratio-woman,2026-04-03T23:52:40.787Z,79,,,0,0,0,0,
166,x,ranking,local-debt-current-ratio,2026-04-03T23:52:40.787Z,11,,,0,0,0,0,
170,x,ranking,local-tax-ratio-pref-finance,2026-04-03T23:52:40.787Z,80,,,0,0,0,0,
178,x,ranking,monthly-average-actual-working-hours-male,2026-04-03T23:52:40.787Z,64,,,0,0,0,0,
183,x,ranking,new-housing-construction-ratio,2026-04-03T23:52:40.787Z,107,,,1,0,0,0,
193,x,ranking,owner-occupied-housing-ratio,2026-04-03T23:52:40.787Z,104,,,0,0,0,0,
213,x,ranking,persons-on-public-assistance-per-1000,2026-04-03T23:52:40.787Z,55,,,0,0,0,0,
231,x,ranking,ratio-65-plus,2026-04-03T23:52:40.787Z,90,,,0,0,0,0,
250,x,ranking,social-increase-rate,2026-04-03T23:52:40.787Z,168,,,0,0,0,0,
254,x,ranking,ssdse-c-lb021101,2026-04-03T23:52:40.787Z,117,,,0,0,1,0,
259,x,ranking,ssdse-c-lb061001,2026-04-03T23:52:40.787Z,50,,,0,0,0,0,
264,x,ranking,ssdse-c-lb092007,2026-04-03T23:52:40.787Z,68,,,0,0,0,0,
269,x,ranking,ssdse-c-lb101001,2026-04-03T23:52:40.787Z,52,,,0,0,0,0,
274,x,ranking,ssdse-c-lb121101,2026-04-03T23:52:40.787Z,58,,,2,0,0,0,
279,x,ranking,ssdse-d-md22,2026-04-03T23:52:40.787Z,52,,,0,0,0,0,
284,x,ranking,suicide-rate-per-100k,2026-04-03T23:52:40.787Z,39,,,0,0,0,0,
292,x,ranking,traffic-accident-count-per-population,2026-04-03T23:52:40.787Z,240,,,0,0,0,0,
311,x,ranking,university-capacity-index,2026-04-03T23:52:40.787Z,69,,,0,0,0,0,
319,x,ranking,vacant-housing-ratio,2026-04-03T23:52:40.787Z,34,,,0,0,0,0,
379,x,bar-chart-race,maximum-temperature,2026-04-03T23:52:40.787Z,39,,,0,0,0,0,
399,x,bar-chart-race,private-rental-housing-rent-per-3-3m2,2026-04-03T23:52:40.787Z,48,,,0,0,0,0,
407,x,bar-chart-race,suicide-rate-per-100k,2026-04-03T23:52:40.787Z,104,,,1,0,0,0,
415,x,bar-chart-race,total-population,2026-04-03T23:52:40.787Z,145,,,2,0,0,0,
435,x,bar-chart-race,welfare-expenditure-ratio-pref-finance,2026-04-03T23:52:40.787Z,87,,,0,0,0,0,
451,x,ranking,per-taxpayer-taxable-income,2026-04-03T23:52:40.787Z,36,,,0,0,0,0,
56,youtube,ranking,foreign-resident-count-per-100k,2026-04-03T23:55:31.442Z,,,240,3,0,,,
57,youtube,ranking,per-capita-kenmin-shotoku-h27,2026-04-03T23:55:31.442Z,,,0,0,0,,,
59,youtube,ranking,divorces-per-total-population,2026-04-03T23:55:31.442Z,,,2245,1,0,,,
65,youtube,ranking,total-fertility-rate,2026-04-03T23:55:31.442Z,,,2124,5,1,,,
68,youtube,ranking,abandoned-cultivated-land-area,2026-04-03T23:55:31.442Z,,,202,0,0,,,
73,youtube,ranking,active-job-opening-ratio,2026-04-03T23:55:31.442Z,,,388,1,0,,,
106,youtube,ranking,current-savings-balance-multi-person-households,2026-04-03T23:55:31.442Z,,,2237,3,0,,,
120,youtube,ranking,fire-damage-casualties-per-population,2026-04-03T23:55:31.442Z,,,2030,2,0,,,
124,youtube,ranking,fiscal-strength-index-prefecture,2026-04-03T23:55:31.442Z,,,8,0,0,,,
137,youtube,ranking,future-burden-ratio,2026-04-03T23:55:31.442Z,,,545,1,0,,,
158,youtube,ranking,inflow-population-ratio,2026-04-03T23:55:31.442Z,,,1,0,0,,,
165,youtube,ranking,laspeyres-index-prefecture,2026-04-03T23:55:31.442Z,,,3,0,0,,,
168,youtube,ranking,local-debt-current-ratio,2026-04-03T23:55:31.442Z,,,31,0,0,,,
172,youtube,ranking,local-tax-ratio-pref-finance,2026-04-03T23:55:31.442Z,,,352,1,0,,,
185,youtube,ranking,new-housing-construction-ratio,2026-04-03T23:55:31.442Z,,,499,2,0,,,
195,youtube,ranking,owner-occupied-housing-ratio,2026-04-03T23:55:31.442Z,,,298,0,0,,,
200,youtube,ranking,per-capita-education-expenditure-pref-municipal,2026-04-03T23:55:31.442Z,,,301,0,0,,,
209,youtube,ranking,per-capita-welfare-expenditure-pref-municipal,2026-04-03T23:55:31.442Z,,,2,0,0,,,
219,youtube,ranking,pharmacy-count-per-100k,2026-04-03T23:55:31.442Z,,,3,0,0,,,
237,youtube,ranking,real-balance-ratio,2026-04-03T23:55:31.442Z,,,1099,1,0,,,
252,youtube,ranking,social-increase-rate,2026-04-03T23:55:31.442Z,,,31,0,0,,,
289,youtube,ranking,total-fertility-rate,2026-04-03T23:55:31.442Z,,,630,2,0,,,
