AD_UNIT_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
content-footer,2,0,0,68,0,0,0.5147
rankingKey最下部,9,0,0,219,2,0.0091,0.4932
ranking右サイドバー,1,0,0,37,0,0,0.2857
stats47-ranking,2,0,0,154,0,0,0.4286
themes-content,0,0,0,18,0,0,0.5556
サイドバー右上,25,1,25399,1051,5,0.0048,0.681
