rank,query,clicks,impressions,ctr_pct,position
1,"健康寿命ランキング 都 道府県 2023",0,104,0.0000,11.9615
2,"高卒初任給 都 道府県 別",0,29,0.0000,9.0345
3,"高卒初任給 ランキング",0,21,0.0000,7.9524
4,"日本 合計特殊出生率 都道府県別 最新",0,20,0.0000,5.1000
5,"入院 受療率 1 位",0,18,0.0000,5.2778
6,"受療率 ランキング",0,15,0.0000,5.1333
7,"地方債 ランキング",0,15,0.0000,10.0000
8,"消費支出 都 道府県 ランキング",0,15,0.0000,8.8667
