sessionDefaultChannelGroup,sessions,activeUsers,screenPageViews,bounceRate
Organic Search,13836,12040,31225,0.31063891298063023
Direct,4552,4338,5733,0.88576449912126543
Referral,750,666,3115,0.22266666666666668
AI Assistant,200,135,551,0.46
Organic Social,52,41,84,0.5
Unassigned,52,45,56,0.71153846153846156
Organic Video,1,0,0,1
