PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,110,1683,66,1502,5,0.0033,0.6977
High-end mobile devices,27,910,30,337,19,0.0564,0.5732
Tablets,2,23,72,17,0,0,0.8824
