DATE,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
2026-06-07,27,347,78,294,4,0.0136,0.7069
2026-06-08,28,447,63,393,7,0.0178,0.6862
2026-06-09,28,450,62,416,1,0.0024,0.6788
2026-06-10,18,387,47,333,2,0.006,0.6807
2026-06-11,24,404,59,429,6,0.014,0.6998
2026-06-12,27,521,53,461,3,0.0065,0.7309
2026-06-13,10,382,26,213,1,0.0047,0.6509
