PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,128,1903,67,2148,8,0.0037,0.709
High-end mobile devices,31,1001,31,359,16,0.0446,0.5935
Tablets,4,34,116,32,0,0,0.75
