PLATFORM_TYPE_NAME,ESTIMATED_EARNINGS,PAGE_VIEWS,PAGE_VIEWS_RPM,IMPRESSIONS,CLICKS,IMPRESSIONS_CTR,ACTIVE_VIEW_VIEWABILITY
Desktop,73,1517,48,1581,4,0.0025,0.6477
High-end mobile devices,26,851,31,436,17,0.039,0.5035
Tablets,1,17,46,25,0,0,0.64
